iso_2,iso_3,pays,note
us,usa,États-Unis,Gravement insuffisant
ca,can,Canada,Insuffisant
cr,cri,Costa Rica,Compatible 2°C
pe,per,Pérou,Insuffisant
br,bra,Brésil,Insuffisant
ar,arg,Argentine,Gravement insuffisant
cl,chl,Chili,Insuffisant
za,zaf,Afrique du Sud,Très insuffisant
ke,ken,Kenya,Compatible 2°C
et,eth,Éthiopie,Compatible 2°C
ma,mar,Maroc,Compatible 1.5°C (Accords de Paris)
sa,sau,Arabie saoudite,Gravement insuffisant
ae,are,Emirats Arabes Unis,Très insuffisant
tr,tur,Turquie,Gravement insuffisant
ch,che,Suisse,Insuffisant
eu,eur,Europe,Insuffisant
ru,rus,Russie,Gravement insuffisant
ua,ukr,Ukraine,Gravement insuffisant
kz,kaz,Kazakhstan,Insuffisant
in,ind,Inde,Compatible 2°C
cn,chn,Chine,Très insuffisant
kr,kor,Corée du Sud,Très insuffisant
jp,jpn,Japon,Très insuffisant
vn,vnm,Vietnam,Gravement insuffisant
bt,btn,Boutan,Compatible 2°C
id,idn,Indonésie,Très insuffisant
ph,phl,Philippines,Compatible 2°C
au,aus,Australie,Insuffisant
nz,nzl,Nouvelle Zélande,Insuffisant
de,deu,Allemagne,Insuffisant
at,aut,Autriche,Insuffisant
be,bel,Belgique,Insuffisant
bg,bgr,Bulgarie,Insuffisant
cy,cyp,Chypre,Insuffisant
hr,hrv,Croatie,Insuffisant
dk,dnk,Danemark,Insuffisant
es,esp,Espagne,Insuffisant
ee,est,Estonie,Insuffisant
fi,fin,Finlande,Insuffisant
fr,fra,France,Insuffisant
gr,grc,Grèce,Insuffisant
hu,hun,Hongrie,Insuffisant
ie,irl,Irlande,Insuffisant
it,ita,Italie,Insuffisant
lv,lva,Lettonie,Insuffisant
lt,ltu,Lituanie,Insuffisant
lu,lux,Luxembourg,Insuffisant
mt,mlt,Malte,Insuffisant
nl,nld,Pays-Bas,Insuffisant
pl,pol,Pologne,Insuffisant
pt,prt,Portugal,Insuffisant
cz,cze,République Tchèque,Insuffisant
ro,rou,Roumanie,Insuffisant
gb,gbr,Royaume-Uni,Insuffisant
sk,svk,Slovaquie,Insuffisant
si,svn,Slovénie,Insuffisant
se,swe,Suède,Insuffisant